| policy_name                                                   | table_name            | permissive | command | roles           | using_expression                                                                                                                                            | with_check_expression                                                                                                                                       |
| Leer fincas propias                                           | fincas                | PERMISSIVE | SELECT  | {authenticated} | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| Solo dueño puede borrar sus fincas                            | fincas                | PERMISSIVE | DELETE  | {public}        | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| Solo dueño puede insertar fincas                              | fincas                | PERMISSIVE | INSERT  | {public}        | null                                                                                                                                                        | (usuario_id = auth.uid())                                                                                                                                   |
| Solo dueño puede modificar o borrar sus fincas                | fincas                | PERMISSIVE | UPDATE  | {public}        | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| Solo dueño puede modificar sus fincas                         | fincas                | PERMISSIVE | UPDATE  | {public}        | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| Solo dueño puede ver sus fincas                               | fincas                | PERMISSIVE | SELECT  | {public}        | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| delete own finca                                              | fincas                | PERMISSIVE | DELETE  | {authenticated} | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| insert own finca                                              | fincas                | PERMISSIVE | INSERT  | {authenticated} | null                                                                                                                                                        | (usuario_id = auth.uid())                                                                                                                                   |
| select own fincas                                             | fincas                | PERMISSIVE | SELECT  | {authenticated} | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| update own finca                                              | fincas                | PERMISSIVE | UPDATE  | {authenticated} | (usuario_id = auth.uid())                                                                                                                                   | null                                                                                                                                                        |
| Public read organizaciones                                    | organizaciones        | PERMISSIVE | SELECT  | {public}        | true                                                                                                                                                        | null                                                                                                                                                        |
| insert own tarea                                              | tareas                | PERMISSIVE | INSERT  | {authenticated} | null                                                                                                                                                        | (EXISTS ( SELECT 1
   FROM (cuarteles c
     JOIN fincas f ON ((f.id = c.finca_id)))
  WHERE ((c.id = tareas.cuartel_id) AND (f.usuario_id = auth.uid())))) |
| select own tareas                                             | tareas                | PERMISSIVE | SELECT  | {authenticated} | (EXISTS ( SELECT 1
   FROM (cuarteles c
     JOIN fincas f ON ((f.id = c.finca_id)))
  WHERE ((c.id = tareas.cuartel_id) AND (f.usuario_id = auth.uid())))) | null                                                                                                                                                        |
| Anon insert usuarios                                          | usuarios              | PERMISSIVE | INSERT  | {anon}          | null                                                                                                                                                        | true                                                                                                                                                        |
| Public insert usuarios                                        | usuarios              | PERMISSIVE | INSERT  | {public}        | null                                                                                                                                                        | true                                                                                                                                                        |
| Public read usuarios                                          | usuarios              | PERMISSIVE | SELECT  | {public}        | true                                                                                                                                                        | null                                                                                                                                                        |
| Superadmin puede editar todos                                 | usuarios              | PERMISSIVE | UPDATE  | {public}        | (rol = 'superadmin'::text)                                                                                                                                  | null                                                                                                                                                        |
| Usuarios pueden editar sus datos                              | usuarios              | PERMISSIVE | UPDATE  | {public}        | (auth.uid() = id)                                                                                                                                           | null                                                                                                                                                        |
| Usuarios pueden editar sus datos y el superadmin todos        | usuarios              | PERMISSIVE | UPDATE  | {public}        | ((auth.uid() = id) OR (rol = 'superadmin'::text))                                                                                                           | null                                                                                                                                                        |
| Usuarios pueden ver su rol y el superadmin todos              | usuarios              | PERMISSIVE | SELECT  | {public}        | ((auth.uid() = id) OR (rol = 'superadmin'::text))                                                                                                           | null                                                                                                                                                        |
| Usuarios pueden ver sus datos                                 | usuarios              | PERMISSIVE | SELECT  | {public}        | ((auth.uid() = id) OR (rol = 'superadmin'::text))                                                                                                           | null                                                                                                                                                        |
| Usuarios pueden ver sus datos y el superadmin todos           | usuarios              | PERMISSIVE | SELECT  | {public}        | ((auth.uid() = id) OR (rol = 'superadmin'::text))                                                                                                           | null                                                                                                                                                        |
